Jahr;Schulgemeinde;students;daz;acs
2000;Glattal;4632;0.4583333333333333;18
2000;Letzi;3375;0.4945185185185185;19
2000;Limmattal;3305;0.7800302571860817;16
2000;Schwamendingen;2789;0.4754392255288634;18
2000;Uto;3955;0.3919089759797724;20
2000;Waidberg;3799;0.35983153461437223;19
2000;Zürichberg;2818;0.24698367636621718;19
2001;Glattal;4627;0.48757294143073265;18
2001;Letzi;3391;0.5148923621350634;19
2001;Limmattal;3309;0.7872469023874282;16
2001;Schwamendingen;2856;0.5049019607843137;18
2001;Uto;3945;0.4093789607097592;19
2001;Waidberg;3769;0.36110374104537013;19
2001;Zürichberg;2775;0.2569369369369369;19
2002;Glattal;4613;0.5074788640797746;18
2002;Letzi;3372;0.5293594306049823;19
2002;Limmattal;3249;0.7768544167436134;16
2002;Schwamendingen;2907;0.5287237702098383;18
2002;Uto;3980;0.421608040201005;19
2002;Waidberg;3885;0.3691119691119691;19
2002;Zürichberg;2816;0.2578125;19
2003;Glattal;4672;0.5308219178082192;18
2003;Letzi;3276;0.5470085470085471;19
2003;Limmattal;3214;0.7890479153702551;16
2003;Schwamendingen;2974;0.5662407531943511;18
2003;Uto;3988;0.4353059177532598;19
2003;Waidberg;3950;0.369620253164557;19
2003;Zürichberg;2786;0.26274228284278534;19
2004;Glattal;4668;0.5514138817480719;18
2004;Letzi;3233;0.5660377358490566;19
2004;Limmattal;3123;0.7973102785782901;17
2004;Schwamendingen;3017;0.6115346370566788;18
2004;Uto;4013;0.4443060054821829;19
2004;Waidberg;3944;0.37449290060851925;19
2004;Zürichberg;2847;0.26413768879522304;21
2005;Glattal;4734;0.5663286861005492;19
2005;Letzi;3209;0.5870987846681209;19
2005;Limmattal;3029;0.802244965335094;17
2005;Schwamendingen;3000;0.651;18
2005;Uto;4011;0.45225629518823235;20
2005;Waidberg;3914;0.3778742973939704;20
2005;Zürichberg;2829;0.2569812654648286;21
2006;Glattal;4816;0.5801495016611296;20
2006;Letzi;3201;0.605123398937832;20
2006;Limmattal;2890;0.8058823529411765;18
2006;Schwamendingen;2946;0.6856754921928038;19
2006;Uto;3998;0.46048024012006;20
2006;Waidberg;3894;0.3754494093477144;20
2006;Zürichberg;2709;0.2576596530084902;20
2007;Glattal;4990;0.5901803607214429;20
2007;Letzi;3233;0.6235694401484689;20
2007;Limmattal;2816;0.8011363636363636;19
2007;Schwamendingen;2962;0.7069547602970966;19
2007;Uto;3997;0.47210407805854393;20
2007;Waidberg;3903;0.37586471944657956;21
2007;Zürichberg;2712;0.2603244837758112;21
2008;Glattal;5092;0.6044776119402985;20
2008;Letzi;3226;0.6233725976441413;20
2008;Limmattal;2841;0.7969024991200282;19
2008;Schwamendingen;3020;0.7149006622516556;20
2008;Uto;4011;0.47469458987783597;20
2008;Waidberg;3884;0.37899073120494337;21
2008;Zürichberg;2750;0.264;21
2009;Glattal;5225;0.6135885167464115;20
2009;Letzi;3325;0.631578947368421;20
2009;Limmattal;2914;0.790665751544269;20
2009;Schwamendingen;3202;0.7242348532167395;20
2009;Uto;4079;0.4721745525864182;20
2009;Waidberg;3966;0.3673726676752395;21
2009;Zürichberg;2890;0.2477508650519031;21
2010;Glattal;5209;0.6256479170666155;20
2010;Letzi;3431;0.6362576508306617;20
2010;Limmattal;2899;0.7788892721628148;19
2010;Schwamendingen;3245;0.7337442218798151;20
2010;Uto;4050;0.4651851851851852;20
2010;Waidberg;4084;0.36606268364348676;21
2010;Zürichberg;3065;0.25415986949429037;22
2011;Glattal;5386;0.6240252506498329;20
2011;Letzi;3597;0.6305254378648875;21
2011;Limmattal;2811;0.7580932052650302;19
2011;Schwamendingen;3213;0.7429193899782135;20
2011;Uto;4077;0.45867059112092223;20
2011;Waidberg;4146;0.35021707670043417;21
2011;Zürichberg;3193;0.2499217037269026;22
2012;Glattal;5527;0.6148000723719921;20
2012;Letzi;3650;0.6306849315068493;20
2012;Limmattal;2798;0.7308791994281629;20
2012;Schwamendingen;3137;0.740197641058336;19
2012;Uto;4119;0.4484098082058752;20
2012;Waidberg;4240;0.33325471698113207;21
2012;Zürichberg;3254;0.24247080516287645;21
2013;Glattal;5684;0.6090781140042224;20
2013;Letzi;3722;0.6225147770016121;20
2013;Limmattal;2867;0.7077084059993024;20
2013;Schwamendingen;3149;0.7408701174976183;19
2013;Uto;4229;0.4287065500118231;20
2013;Waidberg;4367;0.3192122738722235;21
2013;Zürichberg;3343;0.23930601256356565;21
2014;Glattal;5867;0.6030339185273564;20
2014;Letzi;3815;0.6096985583224115;20
2014;Limmattal;2988;0.6810575635876841;20
2014;Schwamendingen;3134;0.7361199744735163;19
2014;Uto;4363;0.4107265642906257;21
2014;Waidberg;4547;0.3004178579283044;21
2014;Zürichberg;3491;0.23660842165568605;21
2015;Glattal;6058;0.5954110267414988;20
2015;Letzi;3993;0.5975457049837215;20
2015;Limmattal;2965;0.6428330522765598;19
2015;Schwamendingen;3346;0.7160789001793186;19
2015;Uto;4527;0.39739341727413297;21
2015;Waidberg;4717;0.29658681365274536;22
2015;Zürichberg;3535;0.23422913719943422;21
2016;Glattal;6274;0.5969078737647434;20
2016;Letzi;4112;0.5885214007782101;20
2016;Limmattal;3030;0.6171617161716172;19
2016;Schwamendingen;3378;0.7057430432208407;19
2016;Uto;4755;0.3878023133543638;21
2016;Waidberg;4924;0.2975223395613322;22
2016;Zürichberg;3745;0.24432576769025366;22
2017;Glattal;6388;0.6017532874139011;20
2017;Letzi;4325;0.5759537572254335;20
2017;Limmattal;3062;0.5943827563683867;19
2017;Schwamendingen;3323;0.7005717724947337;19
2017;Uto;5035;0.39086395233366433;21
2017;Waidberg;5125;0.29385365853658535;21
2017;Zürichberg;3828;0.2447753396029258;22
2018;Glattal;6582;0.6043755697356427;20
2018;Letzi;4420;0.5595022624434389;20
2018;Limmattal;3251;0.5422946785604429;19
2018;Schwamendingen;3423;0.6935436751387671;19
2018;Uto;5332;0.39234808702175544;21
2018;Waidberg;5360;0.29328358208955224;22
2018;Zürichberg;3882;0.2679031427099433;21
2019;Glattal;6893;0.6075729000435224;20
2019;Letzi;4509;0.540031049013085;20
2019;Limmattal;3536;0.5152714932126696;20
2019;Schwamendingen;3492;0.688717067583047;19
2019;Uto;5515;0.38803263825929285;21
2019;Waidberg;5440;0.296875;21
2019;Zürichberg;4003;0.271796152885336;22
