Jahr;Schulgemeinde;students;esd;acs
2000;Glattal;4632;0.5416666666666667;18
2000;Letzi;3375;0.5054814814814814;19
2000;Limmattal;3305;0.21996974281391835;16
2000;Schwamendingen;2789;0.5245607744711366;18
2000;Uto;3955;0.6080910240202275;20
2000;Waidberg;3799;0.6401684653856278;19
2000;Zürichberg;2818;0.7530163236337828;19
2001;Glattal;4627;0.5124270585692674;18
2001;Letzi;3391;0.4851076378649366;19
2001;Limmattal;3309;0.21275309761257177;16
2001;Schwamendingen;2856;0.4950980392156863;18
2001;Uto;3945;0.5906210392902408;19
2001;Waidberg;3769;0.6388962589546299;19
2001;Zürichberg;2775;0.743063063063063;19
2002;Glattal;4613;0.4925211359202254;18
2002;Letzi;3372;0.47064056939501775;19
2002;Limmattal;3249;0.22314558325638656;16
2002;Schwamendingen;2907;0.4712762297901617;18
2002;Uto;3980;0.578391959798995;19
2002;Waidberg;3885;0.6308880308880309;19
2002;Zürichberg;2816;0.7421875;19
2003;Glattal;4672;0.4691780821917808;18
2003;Letzi;3276;0.45299145299145294;19
2003;Limmattal;3214;0.2109520846297449;16
2003;Schwamendingen;2974;0.4337592468056489;18
2003;Uto;3988;0.5646940822467402;19
2003;Waidberg;3950;0.6303797468354431;19
2003;Zürichberg;2786;0.7372577171572147;19
2004;Glattal;4668;0.44858611825192807;18
2004;Letzi;3233;0.4339622641509434;19
2004;Limmattal;3123;0.20268972142170993;17
2004;Schwamendingen;3017;0.38846536294332124;18
2004;Uto;4013;0.5556939945178171;19
2004;Waidberg;3944;0.6255070993914807;19
2004;Zürichberg;2847;0.735862311204777;21
2005;Glattal;4734;0.4336713138994508;19
2005;Letzi;3209;0.41290121533187907;19
2005;Limmattal;3029;0.19775503466490596;17
2005;Schwamendingen;3000;0.349;18
2005;Uto;4011;0.5477437048117677;20
2005;Waidberg;3914;0.6221257026060296;20
2005;Zürichberg;2829;0.7430187345351714;21
2006;Glattal;4816;0.41985049833887045;20
2006;Letzi;3201;0.39487660106216804;20
2006;Limmattal;2890;0.1941176470588235;18
2006;Schwamendingen;2946;0.31432450780719623;19
2006;Uto;3998;0.5395197598799399;20
2006;Waidberg;3894;0.6245505906522856;20
2006;Zürichberg;2709;0.7423403469915097;20
2007;Glattal;4990;0.40981963927855714;20
2007;Letzi;3233;0.37643055985153107;20
2007;Limmattal;2816;0.19886363636363635;19
2007;Schwamendingen;2962;0.2930452397029034;19
2007;Uto;3997;0.5278959219414561;20
2007;Waidberg;3903;0.6241352805534204;21
2007;Zürichberg;2712;0.7396755162241888;21
2008;Glattal;5092;0.3955223880597015;20
2008;Letzi;3226;0.3766274023558587;20
2008;Limmattal;2841;0.2030975008799718;19
2008;Schwamendingen;3020;0.2850993377483444;20
2008;Uto;4011;0.525305410122164;20
2008;Waidberg;3884;0.6210092687950566;21
2008;Zürichberg;2750;0.736;21
2009;Glattal;5225;0.38641148325358854;20
2009;Letzi;3325;0.368421052631579;20
2009;Limmattal;2914;0.209334248455731;20
2009;Schwamendingen;3202;0.2757651467832605;20
2009;Uto;4079;0.5278254474135817;20
2009;Waidberg;3966;0.6326273323247604;21
2009;Zürichberg;2890;0.7522491349480969;21
2010;Glattal;5209;0.3743520829333845;20
2010;Letzi;3431;0.36374234916933834;20
2010;Limmattal;2899;0.22111072783718522;19
2010;Schwamendingen;3245;0.26625577812018486;20
2010;Uto;4050;0.5348148148148149;20
2010;Waidberg;4084;0.6339373163565132;21
2010;Zürichberg;3065;0.7458401305057096;22
2011;Glattal;5386;0.37597474935016706;20
2011;Letzi;3597;0.36947456213511254;21
2011;Limmattal;2811;0.2419067947349698;19
2011;Schwamendingen;3213;0.2570806100217865;20
2011;Uto;4077;0.5413294088790778;20
2011;Waidberg;4146;0.6497829232995658;21
2011;Zürichberg;3193;0.7500782962730974;22
2012;Glattal;5527;0.3851999276280079;20
2012;Letzi;3650;0.36931506849315066;20
2012;Limmattal;2798;0.26912080057183707;20
2012;Schwamendingen;3137;0.25980235894166404;19
2012;Uto;4119;0.5515901917941248;20
2012;Waidberg;4240;0.6667452830188679;21
2012;Zürichberg;3254;0.7575291948371236;21
2013;Glattal;5684;0.3909218859957776;20
2013;Letzi;3722;0.37748522299838794;20
2013;Limmattal;2867;0.2922915940006976;20
2013;Schwamendingen;3149;0.25912988250238167;19
2013;Uto;4229;0.5712934499881769;20
2013;Waidberg;4367;0.6807877261277765;21
2013;Zürichberg;3343;0.7606939874364343;21
2014;Glattal;5867;0.39696608147264356;20
2014;Letzi;3815;0.3903014416775885;20
2014;Limmattal;2988;0.3189424364123159;20
2014;Schwamendingen;3134;0.2638800255264837;19
2014;Uto;4363;0.5892734357093743;21
2014;Waidberg;4547;0.6995821420716957;21
2014;Zürichberg;3491;0.7633915783443139;21
2015;Glattal;6058;0.4045889732585012;20
2015;Letzi;3993;0.4024542950162785;20
2015;Limmattal;2965;0.35716694772344015;19
2015;Schwamendingen;3346;0.28392109982068137;19
2015;Uto;4527;0.6026065827258671;21
2015;Waidberg;4717;0.7034131863472546;22
2015;Zürichberg;3535;0.7657708628005657;21
2016;Glattal;6274;0.4030921262352566;20
2016;Letzi;4112;0.41147859922178986;20
2016;Limmattal;3030;0.3828382838283828;19
2016;Schwamendingen;3378;0.2942569567791593;19
2016;Uto;4755;0.6121976866456362;21
2016;Waidberg;4924;0.7024776604386678;22
2016;Zürichberg;3745;0.7556742323097463;22
2017;Glattal;6388;0.3982467125860989;20
2017;Letzi;4325;0.4240462427745665;20
2017;Limmattal;3062;0.40561724363161333;19
2017;Schwamendingen;3323;0.2994282275052663;19
2017;Uto;5035;0.6091360476663357;21
2017;Waidberg;5125;0.7061463414634146;21
2017;Zürichberg;3828;0.7552246603970743;22
2018;Glattal;6582;0.39562443026435734;20
2018;Letzi;4420;0.4404977375565611;20
2018;Limmattal;3251;0.4577053214395571;19
2018;Schwamendingen;3423;0.30645632486123286;19
2018;Uto;5332;0.6076519129782445;21
2018;Waidberg;5360;0.7067164179104477;22
2018;Zürichberg;3882;0.7320968572900567;21
2019;Glattal;6893;0.3924270999564776;20
2019;Letzi;4509;0.45996895098691504;20
2019;Limmattal;3536;0.48472850678733037;20
2019;Schwamendingen;3492;0.31128293241695304;19
2019;Uto;5515;0.6119673617407071;21
2019;Waidberg;5440;0.703125;21
2019;Zürichberg;4003;0.728203847114664;22
